2026-03-12 16:42:18.189 [http-nio-9095-exec-2] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [Naveenraj01]
2026-03-12 16:42:18.637 [http-nio-9095-exec-2] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA required — generating verification code for userId: [1]
2026-03-12 16:42:40.603 [http-nio-9095-exec-5] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [10] vault entries for userId: [1]
2026-03-12 16:42:57.085 [http-nio-9095-exec-7] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [10] vault entries for userId: [1]
2026-03-12 16:45:01.251 [http-nio-9095-exec-10] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Telegram]
2026-03-12 16:45:01.528 [http-nio-9095-exec-10] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry added successfully — userId: [1], account: [Telegram]
2026-03-12 16:45:01.586 [http-nio-9095-exec-1] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [11] vault entries for userId: [1]
2026-03-12 16:45:04.419 [http-nio-9095-exec-2] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [11] vault entries for userId: [1]
2026-03-12 16:45:20.019 [http-nio-9095-exec-8] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [11] vault entries for userId: [1]
2026-03-12 16:45:28.543 [http-nio-9095-exec-10] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Updating favorite status — entryId: [40], favorite: [true]
2026-03-12 16:45:28.707 [http-nio-9095-exec-10] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Favorite status updated — entryId: [40], isFavorite: [true]
2026-03-12 16:45:28.739 [http-nio-9095-exec-1] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [11] vault entries for userId: [1]
2026-03-12 16:45:36.780 [http-nio-9095-exec-2] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [11] vault entries for userId: [1]
2026-03-12 16:45:56.559 [http-nio-9095-exec-10] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [11] vault entries for userId: [1]
2026-03-12 16:47:02.758 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-12 16:47:02.760 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration failed — email already exists: [john@example.com]
2026-03-12 16:47:02.771 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change master password request — username: [john_doe]
2026-03-12 16:47:02.772 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change password failed — current password incorrect for username: [john_doe]
2026-03-12 16:47:02.789 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-12 16:47:02.791 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration successful — userId: [100], username: [john_doe]
2026-03-12 16:47:02.815 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [john_doe]
2026-03-12 16:47:02.816 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA required — generating verification code for userId: [100]
2026-03-12 16:47:02.823 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change master password request — username: [john_doe]
